farm,cage,day,lmortRate,biomass_density,days_since_start,waveHeight,temperature,waterSpeed,windSpeed,lice_total,agd_score,wksSinceAntiAGD,wksSinceMech,wksSinceMedi,cage_z,lmortRate_z,biomass_density_z,days_since_start_z,waveHeight_z,temperature_z,waterSpeed_z,windSpeed_z,lice_total_z,agd_score_z,wksSinceAntiAGD_z,wksSinceMech_z,wksSinceMedi_z
Farm E,3,2019-07-29,-7.088151114451677,2.6017592735524855,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,2.017566137961748,0,0,3.187503545010459,2.0794415416798357,-0.9060264518938229,1.0054155434474565,0.07634628043460263,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,1.3635480140518061,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,0.07047664201637668
Farm E,4,2019-07-29,-7.716249196498115,2.236034060040255,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.8115620965242345,0,0,3.187503545010459,1.791759469228055,-0.6151815547797552,0.594358318651373,-0.17708287474857137,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,1.1078966313902894,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.22108027038971298
Farm E,5,2019-07-29,-7.5057942201307375,2.2552131369301995,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.7155981082624907,0,0,3.187503545010459,2.0794415416798357,-0.3243366576656876,0.7320900535553232,-0.1637927403147604,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,0.9888051508851852,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,0.07047664201637668
Farm E,6,2019-07-29,-7.927971379536107,2.221524636362629,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.4951487660319727,0,2.6438928315157195,3.187503545010459,1.3862943611198906,-0.03349176055161993,0.45579726349927185,-0.1871371746681819,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,0.7152271241883221,-1.0387506460388776,0.49793685295198176,0.33619401501820695,-0.6320066586798011
Farm E,8,2019-07-29,-7.558353075249987,1.9347688943391204,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.621366483299374,0,0,3.187503545010459,1.9459101490553132,0.5481980336765153,0.6976930417806864,-0.3858444629818209,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,0.8718635363219119,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.06485330819946995
Farm E,9,2019-07-29,-8.055301090718926,1.8354428639014595,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.199964782928397,0,0,3.187503545010459,1.9459101490553132,0.839042930790583,0.37246665127647144,-0.4546724000545074,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,0.3489032749406698,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.06485330819946995
Farm E,10,2019-07-29,-8.102095632960028,1.8763304290229927,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.4996230464268938,0,0,3.187503545010459,1.6094379124341003,1.1298878279046507,0.3418420797023007,-0.42633937650730624,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,0.720779714134592,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.40585754799649454
Farm E,11,2019-07-29,-8.647137274981837,1.919612330130182,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,1.8870696490323797,0,0,3.187503545010459,2.0794415416798357,1.4207327250187183,-0.014859064867061412,-0.396347198699883,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,1.20160163865807,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,0.07047664201637668
Farm E,12,2019-07-29,-7.922580932112464,1.79593933164998,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,2.3960754360813845,0,0,3.187503545010459,1.791759469228055,1.7115776221327859,0.45932502838457867,-0.4820463585221231,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,1.8332787277760656,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.22108027038971298
Farm E,13,2019-07-29,-7.757697722997088,1.8428100449368137,127,3.03,14.44058671559146,0.22526677018856303,3.826609502585308,2.1090003439213802,0,0,3.187503545010459,1.6094379124341003,2.0024225192468537,0.56723243375925,-0.44956731460540456,-0.7904477854022541,0.4516415543161,1.444495425202407,0.5487208908230149,-1.3277909777640655,1.4770180266448754,-1.0387506460388776,-2.5339334859042673,0.33619401501820695,-0.40585754799649454
Farm E,1,2019-08-12,-7.63803068396367,2.8020731906963072,141,3.03,13.980401932401984,0.25525959488790156,8.602328771986832,0.4054651081081644,0.1310282624064041,1.0986122886681098,3.187503545010459,0,-1.4877162461219582,0.6455482292865553,0.2151537372836049,-0.6756053988456134,0.4516415543161,1.2248379715415094,0.9848468197139042,0.47115326315191053,-0.6370722378432763,-0.5959916994218007,-1.2741055639055245,0.33619401501820695,-2.036973260072157
