farm,cage,day,biomass_density,days_since_start,waveHeight,temperature,waterSpeed,windSpeed,lep_fe,agd_score,wksSinceAntiAGD,wksSinceMech,wksSinceMedi,cage_z,biomass_density_z,days_since_start_z,waveHeight_z,temperature_z,waterSpeed_z,windSpeed_z,lep_fe_z,agd_score_z,wksSinceAntiAGD_z,wksSinceMech_z,wksSinceMedi_z
Farm H,3,2019-07-01,0.6316456111004337,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0.01980262729617973,0,2.6438928315157195,3.187503545010459,0,-0.887735266940439,-1.2066192964010996,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.5848481685392145,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-1.9442233178462074
Farm H,4,2019-07-01,0.703365413360784,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.3862943611198906,-0.5967308966614523,-1.1573756908646622,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.5621219158951849
Farm H,5,2019-07-01,0.6918882762119594,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.3862943611198906,-0.3057265263824656,-1.1652560195414294,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.5621219158951849
Farm H,8,2019-07-01,0.38819460849952714,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.3862943611198906,0.5672865844544945,-1.3737754340604036,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.5621219158951849
Farm H,9,2019-07-01,0.3871872320086543,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.3862943611198906,0.8582909547334813,-1.3744671098456092,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.5621219158951849
Farm H,10,2019-07-01,0.3956586098334133,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.3862943611198906,1.149295325012468,-1.3686505686003028,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.5621219158951849
Farm H,11,2019-07-01,0.8303867090517543,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.0986122886681098,1.4402996952914546,-1.0701614713241923,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.8489338707029531
Farm H,12,2019-07-01,0.5354514944119072,78,3.86,13.82227070758786,0.26763605368668125,6.164039392118391,0,0,2.6438928315157195,3.187503545010459,1.0986122886681098,1.7313040655704413,-1.272667235573327,-1.0983164416327886,1.424741755731174,1.1344765540270518,1.161211701826046,-0.4376760098547297,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.8489338707029531
Farm H,1,2019-07-08,0.7680609577012946,85,3.86,14.263053240976904,0.2089473816429899,4.896580796746608,0,0,2.6438928315157195,3.187503545010459,1.791759469228055,-1.4697440074984125,-1.1129550181206933,-1.0391469122178394,1.424741755731174,1.3457943679913686,0.32395427630949,-0.9169605716851563,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.15788316972744196
Farm H,2,2019-07-08,0.86972624490743,85,3.86,14.263053240976904,0.2089473816429899,4.896580796746608,0,0,2.6438928315157195,3.187503545010459,1.791759469228055,-1.1787396372194257,-1.0431505130587035,-1.0391469122178394,1.424741755731174,1.3457943679913686,0.32395427630949,-0.9169605716851563,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,-0.15788316972744196
